Subject,Segmentation,DiceOverlap,HausdorffDistance,HausdorffAverageDistance,LogAbsoluteVolumetricDifference,Recall,Precision,F1
CHB_train_Case08_,ewDavidT1,0.164732556438637,43.9602092806665,6.15426821198035,0.869032523457246,0.164556962025316,0.146666666666667,0.155097613882863
CHB_train_Case08_,ewDavid5T1,0.0000271840701349009,33.8415425180354,10.3032288752547,4.43910253685901,0.0253164556962025,0.0121951219512195,0.0164609053497942
CHB_train_Case08_,sysu,0.380531583038939,46.4973117502507,1.6430918020365,0.922450157892351,0.518987341772152,0.881578947368421,0.653347603757878
CHB_train_Case09_,ewDavid,0.288447453509352,45.2796863946737,2.2503029849389,0.163963411023658,0.6,0.204545454545455,0.305084745762712
CHB_train_Case09_,ewDavid5,0.0423172663498529,44.3029344400571,7.00558671296225,3.45228590488077,0.32,0.631578947368421,0.424778761061947
CHB_train_Case09_,ewDavidT1,0.0286314462766516,44.4887626260835,9.60696247981204,1.85775607081836,0.36,0.099290780141844,0.155651636812847
CHB_train_Case09_,ewDavid5T1,0.0000686259371729545,45.9510609235521,15.0534006066532,2.01000259589856,0.04,0.00386100386100386,0.00704225352112676
CHB_train_Case09_,sysu,0.0875531818593283,42.3497343557194,5.80545284239513,2.5954687376419,0.56,0.777777777777778,0.651162790697674
CHB_train_Case10_,ewDavid,0.0927985665344851,57.1904712342887,17.2016191589159,1.52740412539232,0.5,0.0774647887323944,0.134146341463415
CHB_train_Case10_,ewDavid5,0.0625165239673792,42.3733406754766,10.4569082792731,0.908218607777316,0.333333333333333,0.12,0.176470588235294
CHB_train_Case10_,ewDavidT1,0.00293877495934301,56.7406379942982,13.3050159027447,2.76734361888185,0.666666666666667,0.0601503759398496,0.110344827586207
CHB_train_Case10_,ewDavid5T1,0.000194472129712911,56.6458295022679,21.6783998753724,1.74888598608941,0.166666666666667,0.0127659574468085,0.0237154150197628
CHB_train_Case10_,sysu,0.187523648563429,45.2161475581456,3.4061080081798,2.03002781286058,0.5,0.5,0.5
UNC_train_Case01_,ewDavid,0.0918371598816617,62.7016746187851,21.413763988075,0.706992350818761,0.666666666666667,0.0757575757575758,0.136054421768707
UNC_train_Case01_,ewDavid5,0.170545787173493,46.7707173346743,14.1773713685208,1.42147580431013,0.166666666666667,0.125,0.142857142857143
UNC_train_Case01_,ewDavidT1,0,61.7130456224614,23.1045806865048,0.949934869649579,0,0,0
UNC_train_Case01_,ewDavid5T1,0.00251730648206419,62.631860901621,24.3177780185068,1.59515732401147,0.166666666666667,0.0091324200913242,0.0173160173160173
UNC_train_Case01_,sysu,0.025613802256138,67.2049105348709,21.394770776905,0.103875651194045,0.333333333333333,0.0571428571428571,0.0975609756097561
UNC_train_Case02_,ewDavid,0.139093424132794,57.421685799008,21.8673165086975,1.44037328082784,0.647058823529412,0.277777777777778,0.3886925795053
UNC_train_Case02_,ewDavid5,0.0616171128750168,54.1664102558034,6.44649370283074,3.42373212186753,0.264705882352941,0.9,0.409090909090909
UNC_train_Case02_,ewDavidT1,0.0363127306664404,53.0165068634289,19.784772050532,0.0357792091646461,0.205882352941176,0.116666666666667,0.148936170212766
UNC_train_Case02_,ewDavid5T1,0.00632487336853108,51.073476482417,10.6662857074846,3.30490766599868,0.147058823529412,0.0476190476190476,0.0719424460431655
UNC_train_Case02_,sysu,0.427726646214041,35.0535304926622,3.22512426421333,0.133912502293441,0.705882352941177,0.333333333333333,0.452830188679245
UNC_train_Case03_,ewDavid,0.163868672165615,55.4909902596809,13.9052445211305,1.75845724010825,0.818181818181818,0.176470588235294,0.290322580645161
UNC_train_Case03_,ewDavid5,0.240293143541681,36.8713981291732,8.7900118581682,0.577126259896961,0.545454545454545,0.421052631578947,0.475247524752475
UNC_train_Case03_,ewDavidT1,0.0231859497766138,56.1159513863928,21.8804384617075,0.618937632283297,0.363636363636364,0.0714285714285714,0.119402985074627
UNC_train_Case03_,ewDavid5T1,0.00161111670526634,55.6798886493139,19.1630038534831,2.37774318295908,0.0909090909090909,0.00689655172413793,0.0128205128205128
UNC_train_Case03_,sysu,0.203394194254329,41.4065212255268,7.09064758129457,1.41794591425608,0.818181818181818,0.140625,0.24
UNC_train_Case04_,ewDavid,0.17939600536797,46.639575469766,13.1952834340418,1.59473443143228,0.71875,0.2875,0.410714285714286
UNC_train_Case04_,ewDavid5,0.130689451340749,59.9416382825828,6.0203496455664,2.52060362042276,0.375,0.8,0.51063829787234
UNC_train_Case04_,ewDavidT1,0.0882894474145389,46.4892460683113,14.8800525692087,0.480708723410717,0.28125,0.146666666666667,0.192794547224927
UNC_train_Case04_,ewDavid5T1,0.00384003510889242,34.2928563989645,10.8201282767291,2.84131621855102,0.1875,0.0536912751677852,0.0834782608695652
UNC_train_Case04_,sysu,0.452526817928663,45.7083143421413,4.57971801451122,0.334787120443381,0.71875,0.328358208955224,0.450779510022272
UNC_train_Case05_,ewDavid,0.0180824505768842,81.0632469125189,29.7126008441747,2.81205265215047,0.6,0.0612244897959184,0.111111111111111
UNC_train_Case05_,ewDavid5,0.0668852459016393,52.5618683077381,25.3712504293261,0.203983053575134,0.2,0.125,0.153846153846154
UNC_train_Case05_,ewDavidT1,0,78.4617741323761,33.2960540751346,2.49113719953864,0,0,0
UNC_train_Case05_,ewDavid5T1,0,66.9122559775113,23.5957658244457,0.215495330475953,0,0,0
